"","BeeSpId","ITD_mm","BeeSize_DryWeight_mg","Abundance"
"103","Lasioglossum nigroviride",1.47944455184211,5.76012999543266,32
"104","Lasioglossum nr pavoninum",1.28478764153754,4.47594335837475,3
"105","Lasioglossum obnubilum",0.810606031666667,1.47849675100152,2
"106","Lasioglossum occidentale",1.038961,2.61936845663209,2
"107","Lasioglossum ruidosense",1.1331168425,3.18656812195884,4
"108","Lasioglossum sedi",1.12987009,3.1608014999926,1
"109","Lasioglossum semicaeruleum",1.155844115,3.32903629057919,3
"110","Lasioglossum sisymbrii",1.53225804,6.25782868874468,1
"111","Lasioglossum sp F1",2.33234586361111,18.7598146636361,3
"112","Lasioglossum sp F17",2.33234586361111,18.7598146636361,2
"113","Lasioglossum sp F2",2.33234586361111,18.7598146636361,4
"114","Lasioglossum sp F28",2.33234586361111,18.7598146636361,5
"115","Lasioglossum sp F3",2.33234586361111,18.7598146636361,3
"116","Lasioglossum sp F5",2.33234586361111,18.7598146636361,15
"117","Lasioglossum sp F6",2.33234586361111,18.7598146636361,1
"118","Lasioglossum sp F7",2.33234586361111,18.7598146636361,1
"119","Lasioglossum sp F8",2.33234586361111,18.7598146636361,1
"120","Lasioglossum succinipenne",1.16697583857143,3.3464368029785,5
"121","Lasioglossum tenax",1.28478764153754,4.47594335837475,19
"122","Megachile angelarum",2.31972786333333,15.8001945296283,6
"123","Megachile apicalis",2.417687044,17.4371567821483,23
"124","Megachile brevis",2.640816294,21.2650099297382,4
"125","Megachile fidelis",2.5153060925,18.9757235535474,5
"126","Megachile frigida",3.23685834,33.9004553927388,22
"127","Megachile gemula",2.87074826333333,25.2518971662856,4
"128","Megachile lapponica",2.56343964702703,19.7083952657834,24
"129","Megachile melanophaea",3.029931934,28.5789758318159,13
"130","Megachile montivaga",2.45698920666667,18.1274022871825,1
"131","Megachile onobrychidis",2.4193548,17.3964314407829,1
"132","Megachile perihirta",3.20376252317073,32.5827522544382,16
"133","Megachile pugnata",2.67913828833333,22.0407426242232,19
"134","Megachile relativa",2.48137621631579,18.3319263220197,15
"135","Melecta pacifica fulvida",2.86516330265427,28.1190439461387,3
"136","Melissodes confusa",2.48979589,18.4733632229896,1
"137","Melissodes hymenoxidis",2.632653,21.2424055424892,1
"138","Melissodes microsticta",2.248979564,14.8325727033161,24
"139","Melissodes rivalis",2.457142818,18.1827804895983,1
"140","Melissodes unk1",2.4285714,17.7666133264905,1
"141","Nomada sp F1",2.33234586361111,18.7598146636361,2
"142","Nomada sp F2",2.33234586361111,18.7598146636361,1
"143","Nomada sp F3",2.33234586361111,18.7598146636361,3
"144","Nomada sp F4",2.33234586361111,18.7598146636361,1
"145","Nomada sp F7",2.33234586361111,18.7598146636361,2
"146","Nomada sp M1",2.33234586361111,18.7598146636361,1
"147","Osmia aff albolateralis",2.48057967978018,19.2016350358109,1
"148","Osmia aff grindeliae",2.48057967978018,19.2016350358109,1
"149","Osmia aff paradisica",2.48057967978018,19.2016350358109,5
"150","Osmia albolateralis",2.3889795608,16.9032054877286,54
"151","Osmia atrocyanea",2.622448945,21.0536009278515,2
